gene_id,seqid,gene_type_raw,gene_name,mgi_id,gene_type
ENSMUSG00000093015.1,chr1,miRNA,Gm22463,MGI:5452240,miRNA
ENSMUSG00000103519.1,chr1,TEC,Gm37429,MGI:5610657,TEC
ENSMUSG00000033774.4,chr1,protein_coding,Npbwr1,MGI:891989,protein-coding gene
ENSMUSG00000103090.1,chr1,processed_pseudogene,Gm19214,MGI:5011399,pseudogene
ENSMUSG00000025907.14,chr1,protein_coding,Rb1cc1,MGI:1341850,protein-coding gene
ENSMUSG00000090031.2,chr1,lncRNA,4732440D04Rik,MGI:3604103,lncRNA
ENSMUSG00000087247.3,chr1,protein_coding,Alkal1,MGI:3645495,protein-coding gene
ENSMUSG00000103355.1,chr1,processed_pseudogene,Gm2147,MGI:3780316,pseudogene
ENSMUSG00000102706.1,chr1,processed_pseudogene,Gm7417,MGI:3647903,pseudogene
ENSMUSG00000103845.1,chr1,processed_pseudogene,Gm19026,MGI:5011211,pseudogene
ENSMUSG00000033740.17,chr1,protein_coding,St18,MGI:2446700,protein-coding gene
ENSMUSG00000103329.2,chr1,TEC,Gm42492,MGI:5662629,TEC
ENSMUSG00000104385.1,chr1,processed_pseudogene,Gm7449,MGI:3647895,pseudogene
ENSMUSG00000102135.1,chr1,processed_pseudogene,Gm37108,MGI:5610336,pseudogene
ENSMUSG00000103282.1,chr1,processed_pseudogene,Gm37275,MGI:5610503,pseudogene
ENSMUSG00000102534.1,chr1,processed_pseudogene,Gm37225,MGI:5610453,pseudogene
ENSMUSG00000102213.1,chr1,processed_pseudogene,Gm37489,MGI:5610717,pseudogene
ENSMUSG00000103629.1,chr1,processed_pseudogene,Gm5694,MGI:3645764,pseudogene
ENSMUSG00000051285.17,chr1,protein_coding,Pcmtd1,MGI:2441773,protein-coding gene
ENSMUSG00000098201.1,chr1,processed_pseudogene,Gm26983,MGI:5504098,pseudogene
ENSMUSG00000103509.1,chr1,TEC,Gm38372,MGI:5611600,TEC
ENSMUSG00000048538.7,chr1,processed_pseudogene,Gm9826,MGI:3642725,pseudogene
ENSMUSG00000103709.1,chr1,processed_pseudogene,Nras-ps2,MGI:97378,pseudogene
ENSMUSG00000077244.1,chr1,snoRNA,Gm23274,MGI:5453051,snoRNA
ENSMUSG00000102768.1,chr1,processed_pseudogene,Gm19002,MGI:5011187,pseudogene
ENSMUSG00000097797.6,chr1,lncRNA,Gm26901,MGI:5477395,lncRNA
ENSMUSG00000103498.1,chr1,processed_pseudogene,Gm18984,MGI:5011169,pseudogene
ENSMUSG00000103067.1,chr1,lncRNA,Gm30414,MGI:5589573,lncRNA
ENSMUSG00000102320.1,chr1,processed_pseudogene,Gm37791,MGI:5611019,pseudogene
ENSMUSG00000104226.1,chr1,processed_pseudogene,Gm7470,MGI:3645544,pseudogene
ENSMUSG00000103903.1,chr1,processed_pseudogene,Rps2-ps2,MGI:3645546,pseudogene
ENSMUSG00000103557.1,chr1,processed_pseudogene,Gm38216,MGI:5611444,pseudogene
ENSMUSG00000025909.16,chr1,protein_coding,Sntg1,MGI:1918346,protein-coding gene
ENSMUSG00000102647.1,chr1,TEC,Gm38024,MGI:5611252,TEC
ENSMUSG00000086235.1,chr1,processed_pseudogene,Gm16284,MGI:3826541,pseudogene
ENSMUSG00000102253.1,chr1,TEC,Gm38259,MGI:5611487,TEC
ENSMUSG00000093970.1,chr1,miRNA,Gm23358,MGI:5453135,miRNA
ENSMUSG00000103884.1,chr1,TEC,Gm37005,MGI:5610233,TEC
ENSMUSG00000084353.1,chr1,processed_pseudogene,Gm15452,MGI:3768636,pseudogene
ENSMUSG00000103933.1,chr1,processed_pseudogene,Gm36964,MGI:5610192,pseudogene
ENSMUSG00000076135.1,chr1,miRNA,Gm24276,MGI:5454053,miRNA
ENSMUSG00000086195.1,chr1,processed_pseudogene,Gm6152,MGI:3648859,pseudogene
ENSMUSG00000104504.1,chr1,processed_pseudogene,Gm7445,MGI:3644942,pseudogene
ENSMUSG00000066693.2,chr1,processed_pseudogene,Gm7493,MGI:3643471,pseudogene
ENSMUSG00000102316.1,chr1,TEC,Gm37629,MGI:5610857,TEC
ENSMUSG00000103819.1,chr1,processed_pseudogene,Gm38008,MGI:5611236,pseudogene
ENSMUSG00000102871.1,chr1,TEC,Gm37143,MGI:5610371,TEC
ENSMUSG00000101571.2,chr1,processed_pseudogene,Gm6187,MGI:3648954,pseudogene
ENSMUSG00000104428.1,chr1,processed_pseudogene,Gm18299,MGI:5010484,pseudogene
ENSMUSG00000102272.1,chr1,processed_pseudogene,Gm7512,MGI:3646401,pseudogene
ENSMUSG00000065625.1,chr1,snRNA,Gm24765,MGI:5454542,snRNA
ENSMUSG00000103411.1,chr1,processed_pseudogene,Gm18300,MGI:5010485,pseudogene
ENSMUSG00000061024.8,chr1,protein_coding,Rrs1,MGI:1929721,protein-coding gene
ENSMUSG00000025911.14,chr1,protein_coding,Adhfe1,MGI:1923437,protein-coding gene
ENSMUSG00000079671.8,chr1,lncRNA,2610203C22Rik,MGI:1919731,lncRNA
ENSMUSG00000081441.3,chr1,processed_pseudogene,Gm6161,MGI:3644104,pseudogene
ENSMUSG00000067879.3,chr1,protein_coding,Vxn,MGI:1924232,protein-coding gene
ENSMUSG00000099827.1,chr1,lncRNA,Gm29520,MGI:5580226,lncRNA
ENSMUSG00000025912.16,chr1,protein_coding,Mybl1,MGI:99925,protein-coding gene
ENSMUSG00000045210.8,chr1,protein_coding,Vcpip1,MGI:1917925,protein-coding gene
ENSMUSG00000097893.8,chr1,lncRNA,1700034P13Rik,MGI:1920581,lncRNA
ENSMUSG00000025915.14,chr1,protein_coding,Sgk3,MGI:2182368,protein-coding gene
ENSMUSG00000046334.4,chr1,processed_pseudogene,Gm6195,MGI:3647661,pseudogene
ENSMUSG00000088916.1,chr1,snRNA,Gm22607,MGI:5452384,snRNA
ENSMUSG00000046101.16,chr1,protein_coding,Mcmdc2,MGI:3045334,protein-coding gene
ENSMUSG00000098234.7,chr1,lncRNA,Snhg6,MGI:1921074,lncRNA
ENSMUSG00000093178.1,chr1,snoRNA,Snord87,MGI:2387894,snoRNA
ENSMUSG00000099032.2,chr1,protein_coding,Tcf24,MGI:3780500,protein-coding gene
ENSMUSG00000104025.1,chr1,TEC,E330040D14Rik,MGI:3649088,TEC
ENSMUSG00000025916.10,chr1,protein_coding,Ppp1r42,MGI:1921138,protein-coding gene
ENSMUSG00000087199.1,chr1,lncRNA,Gm15818,MGI:3801960,lncRNA
ENSMUSG00000095780.1,chr1,snRNA,Gm24674,MGI:5454451,snRNA
ENSMUSG00000025917.9,chr1,protein_coding,Cops5,MGI:1349415,protein-coding gene
ENSMUSG00000056763.16,chr1,protein_coding,Cspp1,MGI:2681832,protein-coding gene
ENSMUSG00000102356.1,chr1,TEC,1700047N06Rik,MGI:1923853,TEC
ENSMUSG00000067851.11,chr1,protein_coding,Arfgef1,MGI:2442988,protein-coding gene
ENSMUSG00000088153.1,chr1,misc_RNA,Gm26348,MGI:5456125,misc_RNA
ENSMUSG00000102556.1,chr1,TEC,Gm37569,MGI:5610797,TEC
ENSMUSG00000042501.12,chr1,protein_coding,Cpa6,MGI:3045348,protein-coding gene
ENSMUSG00000103810.1,chr1,TEC,Gm38005,MGI:5611233,TEC
ENSMUSG00000083422.1,chr1,processed_pseudogene,Gm15604,MGI:3783051,pseudogene
ENSMUSG00000094979.1,chr1,snRNA,Gm25253,MGI:5455030,snRNA
ENSMUSG00000081417.1,chr1,processed_pseudogene,Gm15603,MGI:3783050,pseudogene
ENSMUSG00000103448.1,chr1,TEC,Gm37133,MGI:5610361,TEC
ENSMUSG00000100212.1,chr1,processed_pseudogene,Gm5522,MGI:3649087,pseudogene
ENSMUSG00000100648.1,chr1,processed_pseudogene,Gm28659,MGI:5579365,pseudogene
ENSMUSG00000088585.1,chr1,snoRNA,Gm22963,MGI:5452740,snoRNA
ENSMUSG00000048960.13,chr1,protein_coding,Prex2,MGI:1923385,protein-coding gene
ENSMUSG00000077318.1,chr1,snoRNA,Gm24173,MGI:5453950,snoRNA
ENSMUSG00000101827.1,chr1,processed_pseudogene,Gm28686,MGI:5579392,pseudogene
ENSMUSG00000103494.1,chr1,TEC,Gm37410,MGI:5610638,TEC
ENSMUSG00000057715.13,chr1,protein_coding,A830018L16Rik,MGI:2444149,protein-coding gene
ENSMUSG00000103825.1,chr1,TEC,Gm38178,MGI:5611406,TEC
ENSMUSG00000099845.1,chr1,processed_pseudogene,Gm29273,MGI:5579979,pseudogene
ENSMUSG00000103561.1,chr1,TEC,Gm38069,MGI:5611297,TEC
ENSMUSG00000101610.1,chr1,processed_pseudogene,Gm7560,MGI:3648484,pseudogene
ENSMUSG00000093864.1,chr1,snRNA,Gm22633,MGI:5452410,snRNA
ENSMUSG00000098555.1,chr1,miRNA,Mir6341,MGI:5530644,miRNA
ENSMUSG00000097628.1,chr1,processed_pseudogene,Gm2383,MGI:3780551,pseudogene
ENSMUSG00000098163.1,chr1,processed_pseudogene,Gm6216,MGI:3647030,pseudogene
ENSMUSG00000097171.1,chr1,lncRNA,Gm17644,MGI:4937278,lncRNA
ENSMUSG00000101314.1,chr1,lncRNA,Gm29663,MGI:5580369,lncRNA
ENSMUSG00000016918.15,chr1,protein_coding,Sulf1,MGI:2138563,protein-coding gene
ENSMUSG00000025938.16,chr1,protein_coding,Slco5a1,MGI:2443431,protein-coding gene
ENSMUSG00000104518.1,chr1,TEC,Gm37162,MGI:5610390,TEC
ENSMUSG00000069620.6,chr1,processed_pseudogene,Gm5250,MGI:3647667,pseudogene
ENSMUSG00000099498.1,chr1,lncRNA,Gm29283,MGI:5579989,lncRNA
ENSMUSG00000042414.7,chr1,protein_coding,Prdm14,MGI:3588194,protein-coding gene
ENSMUSG00000005886.14,chr1,protein_coding,Ncoa2,MGI:1276533,protein-coding gene
ENSMUSG00000103506.1,chr1,TEC,Gm38376,MGI:5611604,TEC
ENSMUSG00000103495.1,chr1,TEC,Gm37409,MGI:5610637,TEC
ENSMUSG00000099183.1,chr1,miRNA,Gm27881,MGI:5531263,miRNA
ENSMUSG00000102639.1,chr1,TEC,Gm38223,MGI:5611451,TEC
ENSMUSG00000104170.1,chr1,TEC,Gm37702,MGI:5610930,TEC
ENSMUSG00000087782.1,chr1,snRNA,Gm23169,MGI:5452946,snRNA
ENSMUSG00000103085.1,chr1,TEC,Gm38120,MGI:5611348,TEC
ENSMUSG00000102664.1,chr1,TEC,Gm38380,MGI:5611608,TEC
ENSMUSG00000101476.1,chr1,lncRNA,Gm29570,MGI:5580276,lncRNA
ENSMUSG00000101171.1,chr1,processed_pseudogene,Gm7593,MGI:3647262,pseudogene
ENSMUSG00000025935.10,chr1,protein_coding,Tram1,MGI:1919515,protein-coding gene
ENSMUSG00000025937.6,chr1,protein_coding,Lactb2,MGI:2442551,protein-coding gene
ENSMUSG00000102982.1,chr1,TEC,Gm38319,MGI:5611547,TEC
ENSMUSG00000067813.3,chr1,protein_coding,Xkr9,MGI:2686466,protein-coding gene
ENSMUSG00000077368.1,chr1,snoRNA,Gm26273,MGI:5456050,snoRNA
ENSMUSG00000097711.1,chr1,processed_pseudogene,Gm5523,MGI:3649089,pseudogene
ENSMUSG00000102166.1,chr1,TEC,Gm36947,MGI:5610175,TEC
ENSMUSG00000089358.1,chr1,misc_RNA,Gm25491,MGI:5455268,misc_RNA
ENSMUSG00000104209.1,chr1,TEC,Gm37400,MGI:5610628,TEC
ENSMUSG00000025932.14,chr1,protein_coding,Eya1,MGI:109344,protein-coding gene
ENSMUSG00000095853.1,chr1,miRNA,Gm22616,MGI:5452393,miRNA
ENSMUSG00000102588.1,chr1,TEC,Gm37444,MGI:5610672,TEC
ENSMUSG00000054493.2,chr1,lncRNA,Gm9947,MGI:3642739,lncRNA
ENSMUSG00000025930.6,chr1,protein_coding,Msc,MGI:1333884,protein-coding gene
ENSMUSG00000103492.1,chr1,TEC,Gm37412,MGI:5610640,TEC
ENSMUSG00000081201.1,chr1,processed_pseudogene,Smt3h2-ps4,MGI:2149598,pseudogene
ENSMUSG00000082193.1,chr1,processed_pseudogene,Rpl5-ps1,MGI:3647110,pseudogene
ENSMUSG00000032769.5,chr1,protein_coding,Trpa1,MGI:3522699,protein-coding gene
ENSMUSG00000088159.1,chr1,snoRNA,Gm26345,MGI:5456122,snoRNA
ENSMUSG00000073737.3,chr1,processed_pseudogene,Gm10566,MGI:3642220,pseudogene
ENSMUSG00000092083.4,chr1,protein_coding,Kcnb2,MGI:99632,protein-coding gene
ENSMUSG00000102937.1,chr1,TEC,Gm38116,MGI:5611344,TEC
ENSMUSG00000104149.1,chr1,TEC,Gm37138,MGI:5610366,TEC
ENSMUSG00000088829.1,chr1,snoRNA,Gm25227,MGI:5455004,snoRNA
ENSMUSG00000077377.1,chr1,snoRNA,Gm25168,MGI:5454945,snoRNA
ENSMUSG00000101652.1,chr1,processed_pseudogene,Gm6060,MGI:3648622,pseudogene
ENSMUSG00000100814.1,chr1,processed_pseudogene,Gm28669,MGI:5579375,pseudogene
ENSMUSG00000025925.14,chr1,protein_coding,Terf1,MGI:109634,protein-coding gene
ENSMUSG00000104379.1,chr1,TEC,Gm37509,MGI:5610737,TEC
ENSMUSG00000032719.4,chr1,protein_coding,Sbspon,MGI:2684952,protein-coding gene
ENSMUSG00000088943.1,chr1,misc_RNA,Gm23259,MGI:5453036,misc_RNA
ENSMUSG00000100652.1,chr1,processed_pseudogene,Gm7634,MGI:3644198,pseudogene
ENSMUSG00000067795.13,chr1,protein_coding,4930444P10Rik,MGI:1923049,protein-coding gene
ENSMUSG00000043716.13,chr1,protein_coding,Rpl7,MGI:98073,protein-coding gene
ENSMUSG00000025921.7,chr1,protein_coding,Rdh10,MGI:1924238,protein-coding gene
ENSMUSG00000104165.1,chr1,TEC,Gm38249,MGI:5611477,TEC
ENSMUSG00000100868.1,chr1,lncRNA,Gm28095,MGI:5578801,lncRNA
ENSMUSG00000025920.19,chr1,protein_coding,Stau2,MGI:1352508,protein-coding gene
ENSMUSG00000089982.7,chr1,lncRNA,Gm7568,MGI:3649156,lncRNA
ENSMUSG00000025939.18,chr1,protein_coding,Ube2w,MGI:1914049,protein-coding gene
ENSMUSG00000102457.1,chr1,TEC,Gm38342,MGI:5611570,TEC
ENSMUSG00000079658.9,chr1,protein_coding,Eloc,MGI:1915173,protein-coding gene
ENSMUSG00000097744.1,chr1,lncRNA,D030040B21Rik,MGI:4437728,lncRNA
ENSMUSG00000100959.1,chr1,processed_pseudogene,Gm7654,MGI:3648037,pseudogene
ENSMUSG00000025940.6,chr1,protein_coding,Tmem70,MGI:1915068,protein-coding gene
ENSMUSG00000025779.10,chr1,protein_coding,Ly96,MGI:1341909,protein-coding gene
ENSMUSG00000100093.1,chr1,processed_pseudogene,Gm29649,MGI:5580355,pseudogene
ENSMUSG00000091020.3,chr1,processed_pseudogene,Gm5828,MGI:3644176,pseudogene
ENSMUSG00000101640.1,chr1,lncRNA,Gm28376,MGI:5579082,lncRNA
ENSMUSG00000104133.1,chr1,TEC,4921511E07Rik,MGI:1918145,TEC
ENSMUSG00000042686.5,chr1,protein_coding,Jph1,MGI:1891495,protein-coding gene
ENSMUSG00000100110.1,chr1,lncRNA,Gm28783,MGI:5579489,lncRNA
ENSMUSG00000025777.8,chr1,protein_coding,Gdap1,MGI:1338002,protein-coding gene
ENSMUSG00000099899.1,chr1,lncRNA,Gm28784,MGI:5579490,lncRNA
ENSMUSG00000100272.1,chr1,processed_pseudogene,Gm28785,MGI:5579491,pseudogene
ENSMUSG00000100398.1,chr1,processed_pseudogene,Gm5251,MGI:3647666,pseudogene
ENSMUSG00000101589.1,chr1,processed_pseudogene,Rbm6-ps1,MGI:1889580,pseudogene
ENSMUSG00000102048.1,chr1,processed_pseudogene,Gm6075,MGI:3648507,pseudogene
ENSMUSG00000089534.1,chr1,snoRNA,Gm25166,MGI:5454943,snoRNA
ENSMUSG00000067780.3,chr1,protein_coding,Pi15,MGI:1934659,protein-coding gene
ENSMUSG00000100053.1,chr1,lncRNA,Gm28154,MGI:5578860,lncRNA
ENSMUSG00000085125.7,chr1,lncRNA,Gm16070,MGI:3801761,lncRNA
ENSMUSG00000025776.13,chr1,protein_coding,Crispld1,MGI:1934666,protein-coding gene
ENSMUSG00000099895.1,chr1,lncRNA,Gm28153,MGI:5578859,lncRNA
ENSMUSG00000100554.1,chr1,processed_pseudogene,Gm7690,MGI:3648169,pseudogene
ENSMUSG00000099473.1,chr1,transcribed_unprocessed_pseudogene,Gm18775,MGI:5010960,pseudogene
ENSMUSG00000099591.1,chr1,processed_pseudogene,Gm17969,MGI:5010154,pseudogene
ENSMUSG00000109887.1,chr1,lncRNA,Gm28756,MGI:5579462,lncRNA
ENSMUSG00000102001.1,chr1,unprocessed_pseudogene,Gm28755,MGI:5579461,pseudogene
ENSMUSG00000101717.2,chr1,transcribed_unprocessed_pseudogene,Gm45784,MGI:5804899,pseudogene
ENSMUSG00000025774.14,chr1,protein_coding,Crisp4,MGI:1925331,protein-coding gene
ENSMUSG00000070977.4,chr1,unprocessed_pseudogene,Defb44-ps,MGI:3646526,pseudogene
ENSMUSG00000073735.1,chr1,protein_coding,Defb18,MGI:3648148,protein-coding gene
ENSMUSG00000067773.6,chr1,protein_coding,Defb41,MGI:1924923,protein-coding gene
ENSMUSG00000101685.1,chr1,processed_pseudogene,Gm17837,MGI:5010022,pseudogene
ENSMUSG00000101306.1,chr1,processed_pseudogene,Gm5252,MGI:3647664,pseudogene
ENSMUSG00000088800.1,chr1,snoRNA,Gm24075,MGI:5453852,snoRNA
ENSMUSG00000101644.1,chr1,processed_pseudogene,Gm28343,MGI:5579049,pseudogene
ENSMUSG00000099433.1,chr1,processed_pseudogene,Gm28344,MGI:5579050,pseudogene
ENSMUSG00000089787.2,chr1,lncRNA,Gm15825,MGI:3801887,lncRNA
ENSMUSG00000042596.7,chr1,protein_coding,Tfap2d,MGI:2153466,protein-coding gene
ENSMUSG00000100720.1,chr1,processed_pseudogene,Gm10075,MGI:3710521,pseudogene
ENSMUSG00000025927.13,chr1,protein_coding,Tfap2b,MGI:104672,protein-coding gene
ENSMUSG00000100538.1,chr1,lncRNA,Gm28340,MGI:5579046,lncRNA
ENSMUSG00000101117.1,chr1,processed_pseudogene,Gm28341,MGI:5579047,pseudogene
ENSMUSG00000100204.1,chr1,processed_pseudogene,Gm4849,MGI:3645366,pseudogene
ENSMUSG00000084668.1,chr1,snoRNA,Gm24633,MGI:5454410,snoRNA
ENSMUSG00000102597.1,chr1,TEC,Gm38382,MGI:5611610,TEC
ENSMUSG00000043760.16,chr1,protein_coding,Pkhd1,MGI:2155808,protein-coding gene
ENSMUSG00000104095.1,chr1,TEC,Gm37315,MGI:5610543,TEC
ENSMUSG00000089914.2,chr1,lncRNA,4930486I03Rik,MGI:1922278,lncRNA
ENSMUSG00000090142.2,chr1,processed_pseudogene,Gm15795,MGI:3802035,pseudogene
ENSMUSG00000070175.1,chr1,snRNA,Gm24162,MGI:5453939,snRNA
ENSMUSG00000099906.2,chr1,lncRNA,Gm28653,MGI:5579359,lncRNA
ENSMUSG00000065559.1,chr1,miRNA,Mir206,MGI:2676881,miRNA
ENSMUSG00000065480.1,chr1,miRNA,Mir133b,MGI:3618720,miRNA
ENSMUSG00000025929.4,chr1,protein_coding,Il17a,MGI:107364,protein-coding gene
ENSMUSG00000041872.9,chr1,protein_coding,Il17f,MGI:2676631,protein-coding gene
ENSMUSG00000041859.10,chr1,protein_coding,Mcm3,MGI:101845,protein-coding gene
ENSMUSG00000099714.1,chr1,processed_pseudogene,Gm20587,MGI:5295693,pseudogene
ENSMUSG00000102121.1,chr1,lncRNA,Gm28065,MGI:5578771,lncRNA
ENSMUSG00000088858.1,chr1,snoRNA,Gm24723,MGI:5454500,snoRNA
ENSMUSG00000097934.1,chr1,lncRNA,6720483E21Rik,MGI:1924991,lncRNA
ENSMUSG00000025931.15,chr1,protein_coding,Paqr8,MGI:1921479,protein-coding gene
ENSMUSG00000077314.1,chr1,snoRNA,Gm24171,MGI:5453948,snoRNA
ENSMUSG00000100929.1,chr1,processed_pseudogene,Gm28064,MGI:5578770,pseudogene
ENSMUSG00000041809.5,chr1,protein_coding,Efhc1,MGI:1919127,protein-coding gene
ENSMUSG00000041779.5,chr1,protein_coding,Tram2,MGI:1924817,protein-coding gene
ENSMUSG00000099971.1,chr1,lncRNA,Gm28287,MGI:5578993,lncRNA
ENSMUSG00000100819.1,chr1,unprocessed_pseudogene,Gm2693,MGI:3780862,pseudogene
ENSMUSG00000025933.15,chr1,protein_coding,Tmem14a,MGI:1922962,protein-coding gene
ENSMUSG00000102633.1,chr1,TEC,Gm38224,MGI:5611452,TEC
ENSMUSG00000025934.15,chr1,protein_coding,Gsta3,MGI:95856,protein-coding gene
ENSMUSG00000099343.1,chr1,lncRNA,Gm28836,MGI:5579542,lncRNA
ENSMUSG00000096375.2,chr1,unprocessed_pseudogene,Gm7094,MGI:3648114,pseudogene
ENSMUSG00000025936.15,chr1,transcribed_unprocessed_pseudogene,Gm4956,MGI:3647976,pseudogene
ENSMUSG00000093963.1,chr1,unprocessed_pseudogene,Gm21909,MGI:5434073,pseudogene
ENSMUSG00000067750.3,chr1,protein_coding,Khdc1a,MGI:2676610,protein-coding gene
ENSMUSG00000086194.1,chr1,unprocessed_pseudogene,Gm16329,MGI:3840126,pseudogene
ENSMUSG00000094436.1,chr1,processed_pseudogene,Gm16327,MGI:3840125,pseudogene
ENSMUSG00000041722.7,chr1,protein_coding,Khdc1c,MGI:3583007,protein-coding gene
ENSMUSG00000085507.1,chr1,unprocessed_pseudogene,Gm2709,MGI:3780878,pseudogene
ENSMUSG00000094926.1,chr1,processed_pseudogene,Gm16533,MGI:4410373,pseudogene
ENSMUSG00000085079.3,chr1,protein_coding,Khdc1b,MGI:2138477,protein-coding gene
ENSMUSG00000085679.2,chr1,processed_pseudogene,Gm16328,MGI:3840127,pseudogene
ENSMUSG00000028033.16,chr1,protein_coding,Kcnq5,MGI:1924937,protein-coding gene
ENSMUSG00000104138.1,chr1,TEC,Gm36949,MGI:5610177,TEC
ENSMUSG00000082935.3,chr1,processed_pseudogene,Gm7658,MGI:3648029,pseudogene
ENSMUSG00000103748.1,chr1,TEC,Gm38243,MGI:5611471,TEC
ENSMUSG00000099692.1,chr1,processed_pseudogene,Gm5696,MGI:3647717,pseudogene
ENSMUSG00000100418.1,chr1,processed_pseudogene,Gm28239,MGI:5578945,pseudogene
ENSMUSG00000041670.17,chr1,protein_coding,Rims1,MGI:2152971,protein-coding gene
ENSMUSG00000097642.1,chr1,processed_pseudogene,Gm26866,MGI:5477360,pseudogene
ENSMUSG00000101468.1,chr1,processed_pseudogene,Gm7761,MGI:3643583,pseudogene
ENSMUSG00000101227.1,chr1,lncRNA,Gm29506,MGI:5580212,lncRNA
ENSMUSG00000073730.2,chr1,protein_coding,Ppp1r14bl,MGI:1914005,protein-coding gene
ENSMUSG00000089553.1,chr1,snoRNA,Gm24176,MGI:5453953,snoRNA
ENSMUSG00000102766.1,chr1,TEC,Gm6420,MGI:3644588,TEC
ENSMUSG00000065405.3,chr1,miRNA,Mir30a,MGI:2676907,miRNA
ENSMUSG00000097970.1,chr1,lncRNA,Gm27028,MGI:5504143,lncRNA
ENSMUSG00000065567.1,chr1,miRNA,Mir30c-2,MGI:3619048,miRNA
