"entrez","hgnc_id","hgnc_gene","hgnc_symbol","gene_type"
"11174","222","ADAM metallopeptidase with thrombospondin type 1 motif 6","ADAMTS6","protein-coding gene"
"11173","223","ADAM metallopeptidase with thrombospondin type 1 motif 7","ADAMTS7","protein-coding gene"
"11095","224","ADAM metallopeptidase with thrombospondin type 1 motif 8","ADAMTS8","protein-coding gene"
"103","225","adenosine deaminase, RNA specific","ADAR","protein-coding gene"
"104","226","adenosine deaminase, RNA specific B1","ADARB1","protein-coding gene"
"105","227","adenosine deaminase, RNA specific B2 (inactive)","ADARB2","protein-coding gene"
"23536","228","adenosine deaminase, tRNA specific 1","ADAT1","protein-coding gene"
"106","229","adenosine deaminase complexing protein 1","ADCP1","other"
"107","232","adenylate cyclase 1","ADCY1","protein-coding gene"
"108","233","adenylate cyclase 2","ADCY2","protein-coding gene"
"109","234","adenylate cyclase 3","ADCY3","protein-coding gene"
"196883","235","adenylate cyclase 4","ADCY4","protein-coding gene"
"111","236","adenylate cyclase 5","ADCY5","protein-coding gene"
"112","237","adenylate cyclase 6","ADCY6","protein-coding gene"
"113","238","adenylate cyclase 7","ADCY7","protein-coding gene"
"114","239","adenylate cyclase 8","ADCY8","protein-coding gene"
"115","240","adenylate cyclase 9","ADCY9","protein-coding gene"
"116","241","adenylate cyclase activating polypeptide 1","ADCYAP1","protein-coding gene"
"117","242","ADCYAP receptor type I","ADCYAP1R1","protein-coding gene"
"118","243","adducin 1","ADD1","protein-coding gene"
"119","244","adducin 2","ADD2","protein-coding gene"
"120","245","adducin 3","ADD3","protein-coding gene"
"122","247","albinism-deafness syndrome","ADFN","phenotype"
"123","248","perilipin 2","PLIN2","protein-coding gene"
"124","249","alcohol dehydrogenase 1A (class I), alpha polypeptide","ADH1A","protein-coding gene"
"125","250","alcohol dehydrogenase 1B (class I), beta polypeptide","ADH1B","protein-coding gene"
"126","251","alcohol dehydrogenase 1C (class I), gamma polypeptide","ADH1C","protein-coding gene"
"127","252","alcohol dehydrogenase 4 (class II), pi polypeptide","ADH4","protein-coding gene"
"128","253","alcohol dehydrogenase 5 (class III), chi polypeptide","ADH5","protein-coding gene"
"130","255","alcohol dehydrogenase 6 (class V)","ADH6","protein-coding gene"
"131","256","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","ADH7","protein-coding gene"
"132","257","adenosine kinase","ADK","protein-coding gene"
"133","259","adrenomedullin","ADM","protein-coding gene"
"134","262","adenosine A1 receptor","ADORA1","protein-coding gene"
"135","263","adenosine A2a receptor","ADORA2A","protein-coding gene"
"136","264","adenosine A2b receptor","ADORA2B","protein-coding gene"
"137","265","adenosine A2b receptor pseudogene 1","ADORA2BP1","pseudogene"
"140","268","adenosine A3 receptor","ADORA3","protein-coding gene"
"141","269","ADP-ribosylarginine hydrolase","ADPRH","protein-coding gene"
"142","270","poly(ADP-ribose) polymerase 1","PARP1","protein-coding gene"
"143","271","poly(ADP-ribose) polymerase family member 4","PARP4","protein-coding gene"
"10038","272","poly(ADP-ribose) polymerase 2","PARP2","protein-coding gene"
"10039","273","poly(ADP-ribose) polymerase family member 3","PARP3","protein-coding gene"
"107133524","274","poly(ADP-ribose) polymerase family member 4 pseudogene 3","PARP4P3","pseudogene"
"144","275","poly(ADP-ribose) polymerase 1 pseudogene 1","PARP1P1","pseudogene"
"145","276","poly(ADP-ribose) polymerase 1 pseudogene 2","PARP1P2","pseudogene"
"148","277","adrenoceptor alpha 1A","ADRA1A","protein-coding gene"
"147","278","adrenoceptor alpha 1B","ADRA1B","protein-coding gene"
"146","280","adrenoceptor alpha 1D","ADRA1D","protein-coding gene"
"150","281","adrenoceptor alpha 2A","ADRA2A","protein-coding gene"
"151","282","adrenoceptor alpha 2B","ADRA2B","protein-coding gene"
"152","283","adrenoceptor alpha 2C","ADRA2C","protein-coding gene"
"153","285","adrenoceptor beta 1","ADRB1","protein-coding gene"
"154","286","adrenoceptor beta 2","ADRB2","protein-coding gene"
"155","288","adrenoceptor beta 3","ADRB3","protein-coding gene"
"156","289","G protein-coupled receptor kinase 2","GRK2","protein-coding gene"
"157","290","G protein-coupled receptor kinase 3","GRK3","protein-coding gene"
"158","291","adenylosuccinate lyase","ADSL","protein-coding gene"
"159","292","adenylosuccinate synthase","ADSS","protein-coding gene"
"23782","297","adaptor related protein complex 1 beta 1 subunit pseudogene 1","AP1B1P1","pseudogene"
"23781","298","adaptor related protein complex 1 beta 1 subunit pseudogene 2","AP1B1P2","pseudogene"
"165","303","AE binding protein 1","AEBP1","protein-coding gene"
"167","304","cysteine rich secretory protein 1","CRISP1","protein-coding gene"
"166","307","amino-terminal enhancer of split","AES","protein-coding gene"
"169","309","AF8 temperature sensitivity complementing","AF8T","phenotype"
"170","310","ankyloblepharon filiforme adnatum","AFA","phenotype"
"171","312","acrofacial dysostosis 1, Nager type","AFD1","phenotype"
"172","314","AFG3 like matrix AAA peptidase subunit 1, pseudogene","AFG3L1P","pseudogene"
"10939","315","AFG3 like matrix AAA peptidase subunit 2","AFG3L2","protein-coding gene"
"173","316","afamin","AFM","protein-coding gene"
"174","317","alpha fetoprotein","AFP","protein-coding gene"
"175","318","aspartylglucosaminidase","AGA","protein-coding gene"
"176","319","aggrecan","ACAN","protein-coding gene"
"177","320","advanced glycosylation end-product specific receptor","AGER","protein-coding gene"
"178","321","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","AGL","protein-coding gene"
"179","323","agammaglobulinemia, X-linked 2 (with growth hormone deficiency)","AGMX2","phenotype"
"10554","324","1-acylglycerol-3-phosphate O-acyltransferase 1","AGPAT1","protein-coding gene"
"10555","325","1-acylglycerol-3-phosphate O-acyltransferase 2","AGPAT2","protein-coding gene"
"56894","326","1-acylglycerol-3-phosphate O-acyltransferase 3","AGPAT3","protein-coding gene"
"8540","327","alkylglycerone phosphate synthase","AGPS","protein-coding gene"
"10551","328","anterior gradient 2, protein disulphide isomerase family member","AGR2","protein-coding gene"
"375790","329","agrin","AGRN","protein-coding gene"
"181","330","agouti related neuropeptide","AGRP","protein-coding gene"
"183","333","angiotensinogen","AGT","protein-coding gene"
"185","336","angiotensin II receptor type 1","AGTR1","protein-coding gene"
"186","338","angiotensin II receptor type 2","AGTR2","protein-coding gene"
"187","339","apelin receptor","APLNR","protein-coding gene"
"189","341","alanine-glyoxylate aminotransferase","AGXT","protein-coding gene"
"191","343","adenosylhomocysteinase","AHCY","protein-coding gene"
"10768","344","adenosylhomocysteinase like 1","AHCYL1","protein-coding gene"
"57491","346","aryl-hydrocarbon receptor repressor","AHRR","protein-coding gene"
"79026","347","AHNAK nucleoprotein","AHNAK","protein-coding gene"
"196","348","aryl hydrocarbon receptor","AHR","protein-coding gene"
"197","349","alpha 2-HS glycoprotein","AHSG","protein-coding gene"
"192","350","Aicardi syndrome","AIC","phenotype"
"199","352","allograft inflammatory factor 1","AIF1","protein-coding gene"
"201","355","amelogenesis imperfecta 3, hypomaturation or hypoplastic type","AIH3","phenotype"
"202","356","crystallin beta-gamma domain containing 1","CRYBG1","protein-coding gene"
"9447","357","absent in melanoma 2","AIM2","protein-coding gene"
"9049","358","aryl hydrocarbon receptor interacting protein","AIP","protein-coding gene"
"23746","359","aryl hydrocarbon receptor interacting protein like 1","AIPL1","protein-coding gene"
"326","360","autoimmune regulator","AIRE","protein-coding gene"
"203","361","adenylate kinase 1","AK1","protein-coding gene"
"204","362","adenylate kinase 2","AK2","protein-coding gene"
"205","363","adenylate kinase 4","AK4","protein-coding gene"
"206","364","adenylate kinase 4 pseudogene 1","AK4P1","pseudogene"
"26289","365","adenylate kinase 5","AK5","protein-coding gene"
"8165","367","A-kinase anchoring protein 1","AKAP1","protein-coding gene"
"11216","368","A-kinase anchoring protein 10","AKAP10","protein-coding gene"
"11215","369","A-kinase anchoring protein 11","AKAP11","protein-coding gene"
"9590","370","A-kinase anchoring protein 12","AKAP12","protein-coding gene"
"11214","371","A-kinase anchoring protein 13","AKAP13","protein-coding gene"
"11217","372","A-kinase anchoring protein 2","AKAP2","protein-coding gene"
"10566","373","A-kinase anchoring protein 3","AKAP3","protein-coding gene"
"8852","374","A-kinase anchoring protein 4","AKAP4","protein-coding gene"
"9495","375","A-kinase anchoring protein 5","AKAP5","protein-coding gene"
"9472","376","A-kinase anchoring protein 6","AKAP6","protein-coding gene"
"9465","377","A-kinase anchoring protein 7","AKAP7","protein-coding gene"
"10270","378","A-kinase anchoring protein 8","AKAP8","protein-coding gene"
"10142","379","A-kinase anchoring protein 9","AKAP9","protein-coding gene"
"10327","380","aldo-keto reductase family 1 member A1","AKR1A1","protein-coding gene"
"231","381","aldo-keto reductase family 1 member B","AKR1B1","protein-coding gene"
"57016","382","aldo-keto reductase family 1 member B10","AKR1B10","protein-coding gene"
"1645","384","aldo-keto reductase family 1 member C1","AKR1C1","protein-coding gene"
"1646","385","aldo-keto reductase family 1 member C2","AKR1C2","protein-coding gene"
"8644","386","aldo-keto reductase family 1 member C3","AKR1C3","protein-coding gene"
"1109","387","aldo-keto reductase family 1 member C4","AKR1C4","protein-coding gene"
"6718","388","aldo-keto reductase family 1 member D1","AKR1D1","protein-coding gene"
"8574","389","aldo-keto reductase family 7 member A2","AKR7A2","protein-coding gene"
"22977","390","aldo-keto reductase family 7 member A3","AKR7A3","protein-coding gene"
"207","391","AKT serine/threonine kinase 1","AKT1","protein-coding gene"
"208","392","AKT serine/threonine kinase 2","AKT2","protein-coding gene"
"10000","393","AKT serine/threonine kinase 3","AKT3","protein-coding gene"
"210","395","aminolevulinate dehydratase","ALAD","protein-coding gene"
"211","396","5'-aminolevulinate synthase 1","ALAS1","protein-coding gene"
"212","397","5'-aminolevulinate synthase 2","ALAS2","protein-coding gene"
"213","399","albumin","ALB","protein-coding gene"
"214","400","activated leukocyte cell adhesion molecule","ALCAM","protein-coding gene"
"216","402","aldehyde dehydrogenase 1 family member A1","ALDH1A1","protein-coding gene"
"224","403","aldehyde dehydrogenase 3 family member A2","ALDH3A2","protein-coding gene"
"217","404","aldehyde dehydrogenase 2 family (mitochondrial)","ALDH2","protein-coding gene"
"218","405","aldehyde dehydrogenase 3 family member A1","ALDH3A1","protein-coding gene"
"8659","406","aldehyde dehydrogenase 4 family member A1","ALDH4A1","protein-coding gene"
"219","407","aldehyde dehydrogenase 1 family member B1","ALDH1B1","protein-coding gene"
"7915","408","aldehyde dehydrogenase 5 family member A1","ALDH5A1","protein-coding gene"
"220","409","aldehyde dehydrogenase 1 family member A3","ALDH1A3","protein-coding gene"
"221","410","aldehyde dehydrogenase 3 family member B1","ALDH3B1","protein-coding gene"
"222","411","aldehyde dehydrogenase 3 family member B2","ALDH3B2","protein-coding gene"
"223","412","aldehyde dehydrogenase 9 family member A1","ALDH9A1","protein-coding gene"
"226","414","aldolase, fructose-bisphosphate A","ALDOA","protein-coding gene"
"391538","415","aldolase, fructose-bisphosphate A pseudogene 1","ALDOAP1","pseudogene"
"228","416","aldolase, fructose-bisphosphate A pseudogene 2","ALDOAP2","pseudogene"
"229","417","aldolase, fructose-bisphosphate B","ALDOB","protein-coding gene"
"230","418","aldolase, fructose-bisphosphate C","ALDOC","protein-coding gene"
"401982","420","aldehyde reductase family 1 member B1 pseudogene 1","AKR1B1P1","pseudogene"
"729347","422","aldo-keto reductase family 1 member B1 pseudogene 3","AKR1B1P3","pseudogene"
"390402","423","aldo-keto reductase family 1 member B1 pseudogene 4","AKR1B1P4","pseudogene"
"236","425","aldo-keto reductase family 1 member B1 pseudogene 2","AKR1B1P2","pseudogene"
"238","427","ALK receptor tyrosine kinase","ALK","protein-coding gene"
"7840","428","ALMS1, centrosome and basal body associated protein","ALMS1","protein-coding gene"
"239","429","arachidonate 12-lipoxygenase, 12S type","ALOX12","protein-coding gene"
"242","430","arachidonate 12-lipoxygenase, 12R type","ALOX12B","protein-coding gene"
"243","431","arachidonate 12-lipoxygenase pseudogene 1","ALOX12P1","pseudogene"
"245","432","arachidonate 12-lipoxygenase pseudogene 2","ALOX12P2","pseudogene"
"246","433","arachidonate 15-lipoxygenase","ALOX15","protein-coding gene"
"247","434","arachidonate 15-lipoxygenase, type B","ALOX15B","protein-coding gene"
"240","435","arachidonate 5-lipoxygenase","ALOX5","protein-coding gene"
"241","436","arachidonate 5-lipoxygenase activating protein","ALOX5AP","protein-coding gene"
"248","437","alkaline phosphatase, intestinal","ALPI","protein-coding gene"
"249","438","alkaline phosphatase, liver/bone/kidney","ALPL","protein-coding gene"
"250","439","alkaline phosphatase, placental","ALPP","protein-coding gene"
"251","441","alkaline phosphatase, placental like 2","ALPPL2","protein-coding gene"
"57679","443","ALS2, alsin Rho guanine nucleotide exchange factor","ALS2","protein-coding gene"
"253","444","amyotrophic lateral sclerosis 3 (autosomal dominant)","ALS3","phenotype"
"23064","445","senataxin","SETX","protein-coding gene"
"255","446","amyotrophic lateral sclerosis 5","ALS5","phenotype"
"9189","447","zinc finger BED-type containing 1","ZBED1","protein-coding gene"
"257","449","ALX homeobox 3","ALX3","protein-coding gene"
"60529","450","ALX homeobox 4","ALX4","protein-coding gene"
"23600","451","alpha-methylacyl-CoA racemase","AMACR","protein-coding gene"
"258","452","ameloblastin","AMBN","protein-coding gene"
"259","453","alpha-1-microglobulin/bikunin precursor","AMBP","protein-coding gene"
"261","456","arthrogryposis multiplex congenita, neurogenic","AMCN","phenotype"
"262","457","adenosylmethionine decarboxylase 1","AMD1","protein-coding gene"
"263","460","adenosylmethionine decarboxylase 1 pseudogene 2","AMD1P2","pseudogene"
"265","461","amelogenin, X-linked","AMELX","protein-coding gene"
"266","462","amelogenin, Y-linked","AMELY","protein-coding gene"
"267","463","autocrine motility factor receptor","AMFR","protein-coding gene"
"268","464","anti-Mullerian hormone","AMH","protein-coding gene"
"269","465","anti-Mullerian hormone receptor type 2","AMHR2","protein-coding gene"
"9163","466","acute myeloid leukemia chromosome region 2","AMLCR2","other"
"9949","467","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","AMMECR1","protein-coding gene"
"270","468","adenosine monophosphate deaminase 1","AMPD1","protein-coding gene"
"271","469","adenosine monophosphate deaminase 2","AMPD2","protein-coding gene"
"272","470","adenosine monophosphate deaminase 3","AMPD3","protein-coding gene"
"273","471","amphiphysin","AMPH","protein-coding gene"
"275","473","aminomethyltransferase","AMT","protein-coding gene"
"276","474","amylase, alpha 1A (salivary)","AMY1A","protein-coding gene"
"277","475","amylase, alpha 1B (salivary)","AMY1B","protein-coding gene"
"278","476","amylase, alpha 1C (salivary)","AMY1C","protein-coding gene"
"279","477","amylase, alpha 2A (pancreatic)","AMY2A","protein-coding gene"
"280","478","amylase, alpha 2B (pancreatic)","AMY2B","protein-coding gene"
"281","479","amylase, alpha pseudogene 1","AMYP1","pseudogene"
"282","482","Angelman syndrome chromosome region","ANCR","other"
"283","483","angiogenin","ANG","protein-coding gene"
"284","484","angiopoietin 1","ANGPT1","protein-coding gene"
"285","485","angiopoietin 2","ANGPT2","protein-coding gene"
"51378","487","angiopoietin 4","ANGPT4","protein-coding gene"
"9068","489","angiopoietin like 1","ANGPTL1","protein-coding gene"
